target_date,window,similar_date,correlation
2026-04-02,25Y,2026-03-31,0.9101
2026-04-02,25Y,2026-04-01,0.8853
2026-04-02,25Y,2026-03-27,0.8253
2026-04-02,25Y,2026-03-30,0.773
2026-04-02,25Y,2026-03-25,0.7459
2026-04-02,25Y,2022-05-16,0.6985
2026-04-02,25Y,2026-03-26,0.6849
2026-04-02,25Y,2022-05-19,0.664
2026-04-02,25Y,2022-05-13,0.6428
2026-04-02,25Y,2022-05-17,0.641
2026-04-02,25Y,2026-03-23,0.6362
2026-04-02,25Y,2026-03-19,0.6295
2026-04-02,25Y,2021-10-06,0.6276
2026-04-02,25Y,2021-10-05,0.6269
2026-04-02,25Y,2010-02-16,0.6237
2026-04-02,25Y,2026-03-20,0.6233
2026-04-02,25Y,2010-02-18,0.6188
2026-04-02,25Y,2023-10-10,0.6103
2026-04-02,25Y,2025-01-08,0.6081
2026-04-02,25Y,2020-03-27,0.6077
2026-04-02,25Y,2010-02-11,0.6045
2026-04-02,25Y,2023-10-11,0.602
2026-04-02,25Y,2026-03-24,0.6013
2026-04-02,25Y,2010-02-12,0.6006
2026-04-02,25Y,2023-10-13,0.5956
2026-04-02,25Y,2007-03-20,0.5939
2026-04-02,25Y,2022-02-03,0.5938
2026-04-02,25Y,2004-05-21,0.5906
2026-04-02,25Y,2023-10-12,0.5892
2026-04-02,25Y,2025-01-10,0.589
2026-04-02,25Y,2022-05-18,0.5888
2026-04-02,25Y,2001-04-09,0.5863
2026-04-02,25Y,2020-03-25,0.5862
2026-04-02,25Y,2016-01-28,0.5858
2026-04-02,25Y,2005-04-05,0.5858
2026-04-02,25Y,2016-01-27,0.5858
2026-04-02,25Y,2022-05-20,0.5849
2026-04-02,25Y,2021-10-07,0.5835
2026-04-02,25Y,2021-10-12,0.5824
2026-04-02,25Y,2010-06-02,0.581
2026-04-02,25Y,2025-01-07,0.5804
2026-04-02,25Y,2018-02-21,0.5776
2026-04-02,25Y,2016-01-26,0.5761
2026-04-02,25Y,2010-02-17,0.5744
2026-04-02,25Y,2008-10-30,0.5733
2026-04-02,25Y,2021-10-08,0.5719
2026-04-02,25Y,2004-05-05,0.5708
2026-04-02,25Y,2007-03-26,0.5701
2026-04-02,25Y,2026-03-13,0.5659
2026-04-02,25Y,2007-03-22,0.5655
2026-04-02,25Y,2008-07-07,0.5642
2026-04-02,25Y,2008-10-29,0.5621
2026-04-02,25Y,2002-06-28,0.5616
2026-04-02,25Y,2010-06-11,0.5612
2026-04-02,25Y,2010-05-28,0.5594
2026-04-02,25Y,2021-12-09,0.5587
