target_date,window,similar_date,correlation
2026-03-18,25Y,2026-03-17,0.9248
2026-03-18,25Y,2026-03-16,0.8477
2026-03-18,25Y,2026-03-13,0.8093
2026-03-18,25Y,2026-03-12,0.7548
2026-03-18,25Y,2026-03-11,0.6578
2026-03-18,25Y,2026-03-10,0.6028
2026-03-18,25Y,2022-05-09,0.5754
2026-03-18,25Y,2004-05-17,0.5633
2026-03-18,25Y,2023-10-03,0.5633
2026-03-18,25Y,2022-05-06,0.5615
2026-03-18,25Y,2002-09-30,0.5603
2026-03-18,25Y,2022-04-29,0.5554
2026-03-18,25Y,2005-04-01,0.5527
2026-03-18,25Y,2022-05-05,0.5518
2026-03-18,25Y,2004-05-18,0.5517
2026-03-18,25Y,2002-09-27,0.5478
2026-03-18,25Y,2008-07-03,0.5425
2026-03-18,25Y,2022-05-12,0.5384
2026-03-18,25Y,2005-04-04,0.5366
2026-03-18,25Y,2005-03-31,0.5325
2026-03-18,25Y,2013-06-28,0.5311
2026-03-18,25Y,2008-06-30,0.53
2026-03-18,25Y,2005-04-05,0.5297
2026-03-18,25Y,2022-09-26,0.5291
2026-03-18,25Y,2013-06-27,0.5271
2026-03-18,25Y,2004-03-19,0.5264
2026-03-18,25Y,2001-03-21,0.5242
2026-03-18,25Y,2005-03-30,0.524
2026-03-18,25Y,2005-03-29,0.5238
2026-03-18,25Y,2024-10-31,0.5237
2026-03-18,25Y,2023-08-28,0.5234
2026-03-18,25Y,2007-08-02,0.522
2026-03-18,25Y,2004-03-22,0.5219
2026-03-18,25Y,2023-08-24,0.5213
2026-03-18,25Y,2023-10-04,0.5212
2026-03-18,25Y,2001-03-22,0.5204
2026-03-18,25Y,2008-07-01,0.5194
2026-03-18,25Y,2008-07-07,0.5182
2026-03-18,25Y,2007-08-01,0.5174
2026-03-18,25Y,2018-10-22,0.5174
2026-03-18,25Y,2004-05-19,0.5174
2026-03-18,25Y,2023-09-29,0.515
2026-03-18,25Y,2013-06-24,0.5148
2026-03-18,25Y,2023-08-25,0.5145
2026-03-18,25Y,2011-06-13,0.5144
2026-03-18,25Y,2010-06-01,0.5142
2026-03-18,25Y,2013-06-21,0.5136
2026-03-18,25Y,2024-10-30,0.5134
2026-03-18,25Y,2018-10-19,0.5126
2026-03-18,25Y,2026-03-06,0.5117
2026-03-18,25Y,2000-05-10,0.5105
2026-03-18,25Y,2023-08-22,0.5102
2026-03-18,25Y,2001-03-23,0.5101
2026-03-18,25Y,2006-05-24,0.5097
2026-03-18,25Y,2002-10-10,0.5093
2026-03-18,25Y,2018-02-13,0.5091
2026-03-18,25Y,2022-05-03,0.5088
2026-03-18,25Y,2018-02-12,0.5085
2026-03-18,25Y,2004-05-20,0.5084
2026-03-18,25Y,2004-03-23,0.5061
2026-03-18,25Y,2022-09-23,0.5058
2026-03-18,25Y,2023-10-02,0.5048
2026-03-18,25Y,2011-11-28,0.5027
2026-03-18,25Y,2007-03-08,0.5024
2026-03-18,25Y,2023-09-28,0.502
2026-03-18,25Y,2002-09-25,0.5019
2026-03-18,25Y,2018-02-08,0.5015
2026-03-18,25Y,2021-10-07,0.5015
2026-03-18,25Y,2022-09-27,0.5
2026-03-18,25Y,2004-03-18,0.4994
2026-03-18,25Y,2004-05-07,0.4981
2026-03-18,25Y,2001-09-26,0.4975
2026-03-18,25Y,2001-09-25,0.4971
2026-03-18,25Y,2007-03-07,0.4952
2026-03-18,25Y,2004-03-17,0.4939
2026-03-18,25Y,2013-06-12,0.4934
2026-03-18,25Y,2022-05-02,0.491
2026-03-18,25Y,2001-03-20,0.4908
2026-03-18,25Y,2004-05-06,0.4906
2026-03-18,25Y,2007-03-06,0.4905
2026-03-18,25Y,2009-03-09,0.4903
2026-03-18,25Y,2016-01-19,0.4901
2026-03-18,25Y,2015-09-02,0.4901
2026-03-18,25Y,2008-07-02,0.4898
2026-03-18,25Y,2001-03-19,0.4894
2026-03-18,25Y,2013-06-13,0.4885
2026-03-18,25Y,2008-06-23,0.4882
2026-03-18,25Y,2016-01-21,0.4881
2026-03-18,25Y,2007-08-03,0.4869
2026-03-18,25Y,2009-02-27,0.4869
2026-03-18,25Y,2013-06-11,0.4862
2026-03-18,25Y,2018-02-09,0.4852
2026-03-18,25Y,2021-10-06,0.4843
2026-03-18,25Y,2010-05-28,0.4843
2026-03-18,25Y,2022-05-18,0.4842
2026-03-18,25Y,2009-03-02,0.4832
2026-03-18,25Y,2004-08-03,0.4831
2026-03-18,25Y,2013-06-07,0.483
2026-03-18,25Y,2010-02-04,0.483
2026-03-18,25Y,2006-05-30,0.4817
2026-03-18,5Y,2026-03-17,0.9248
2026-03-18,5Y,2026-03-16,0.8477
2026-03-18,5Y,2026-03-13,0.8093
2026-03-18,5Y,2026-03-12,0.7548
2026-03-18,5Y,2026-03-11,0.6578
2026-03-18,5Y,2026-03-10,0.6028
2026-03-18,5Y,2022-05-09,0.5754
2026-03-18,5Y,2023-10-03,0.5633
2026-03-18,5Y,2022-05-06,0.5615
