ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
APA,40.91,1.89,10.3,13.73,42.99,65.03,132.58,5.44,1.33,3.13,1.51,3.08,4,True,True,True,True,True,10.9,10.2,109.09,11.11,5.27,98.06,15.25,20.63,92.51,2.7581,XLE,0.86,1.42,clean,0.751,normal,none,91.05509830818472,97.0164609053498,99.10836762688614,95.7,1
WTTR,20.04,2.45,11.02,33.24,39.07,100.8,134.94,4.49,3.02,1.18,2.58,3.45,4,True,True,True,True,True,11.63,29.72,111.45,11.83,24.78,100.42,15.97,40.15,94.87,1.5605,XLE,0.34,1.22,clean,1.023,normal,none,93.60996799268405,97.0164609053498,96.29629629629629,95.6,2
CVE,31.8,0.73,5.96,27.66,42.92,75.4,131.95,8.19,4.64,1.55,1.76,3.07,4,True,True,True,True,True,6.57,24.13,108.47,6.77,19.2,97.43,10.91,34.56,91.88,1.9622,XLE,0.8,1.02,clean,0.605,thin,none,90.20919067215364,97.0164609053498,98.01097393689986,95.1,3
MXL,94.86,8.46,3.19,198.96,413.59,582.45,663.15,0.38,62.42,2.08,1.41,1.6,3,True,True,True,True,True,3.79,195.43,639.67,3.99,190.5,628.63,8.14,205.86,623.09,3.0896,XLK,0.41,-0.1,clean,1.473,normal,none,97.70804755372656,82.47599451303155,99.45130315500685,93.2,4
CHRD,149.65,0.06,5.38,17.78,46.54,60.72,54.81,89.4,3.3,2.62,1.3,1.18,4,True,True,True,True,True,5.98,14.25,31.32,6.19,9.32,20.29,10.33,24.68,14.74,2.1281,XLE,0.81,0.7,clean,0.716,thin,none,84.19067215363512,97.0164609053498,98.21673525377228,93.1,5
PR,21.22,1.43,5.21,8.27,20.16,55.69,57.07,3.63,1.59,2.44,2.76,2.83,4,True,True,True,True,True,5.81,4.74,33.59,6.01,-0.2,22.55,10.15,15.17,17.0,2.1035,XLE,0.79,1.08,clean,0.845,normal,none,83.18472793781434,97.0164609053498,98.079561042524,92.8,6
HAL,42.98,0.47,3.07,17.18,23.61,57.44,102.26,6.57,5.6,1.37,2.43,4.33,4,True,True,True,True,True,3.67,13.65,78.78,3.88,8.71,67.74,8.02,24.08,62.19,1.0949,XLE,0.63,0.86,clean,0.618,thin,none,85.23662551440329,97.0164609053498,94.17009602194787,92.1,7
USO,152.96,2.46,6.0,26.08,92.64,114.29,124.61,2.44,4.35,3.55,1.23,1.35,3,True,True,True,True,True,6.6,22.55,101.13,6.81,17.62,90.09,10.95,32.98,84.54,3.4435,XLE,0.55,0.53,clean,0.183,thin,none,93.77572016460907,82.47599451303155,99.72565157750343,92.0,8
EFXT,28.09,-0.25,4.0,19.63,44.64,111.04,295.63,-16.09,4.91,2.27,2.49,6.62,4,True,True,True,True,True,4.6,16.1,272.15,4.81,11.17,261.11,8.95,26.53,255.57,0.5042,,,-0.11,clean,0.742,thin,buy_today,89.04892546867855,97.0164609053498,88.95747599451303,91.7,9
EXCE,23.2,0.87,0.87,5.94,18.97,40.61,130.85,1.0,6.83,3.2,2.14,6.9,4,True,True,True,True,True,1.47,2.41,107.36,1.68,-2.53,96.33,5.82,12.84,90.78,1.4368,,,0.05,clean,,normal,none,81.04138088705989,97.0164609053498,95.88477366255144,91.3,10
