ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
AXTI,140.83,16.37,13.77,87.1,395.36,1292.98,9887.94,0.84,6.32,4.54,3.27,25.01,4,True,True,True,True,True,12.9,81.85,9860.02,12.56,76.95,9848.08,14.59,91.1,9852.44,5.2107,XLK,0.35,0.8,clean,0.796,normal,none,99.35210008936549,95.24128686327077,99.93297587131367,98.2,1
PBT,31.01,3.44,6.89,40.13,56.77,66.18,180.38,2.01,5.82,1.41,1.17,3.18,3,True,True,True,True,True,6.02,34.88,152.45,5.68,29.98,140.52,7.71,44.12,144.88,3.3758,XLE,0.57,-0.32,clean,1.523,confirmed,none,91.09137622877569,78.55227882037534,99.46380697050938,89.7,2
AXSM,235.97,1.0,3.62,29.14,35.03,60.78,123.12,3.63,8.04,1.2,1.74,3.52,4,True,True,True,True,True,2.75,23.89,95.19,2.41,18.99,83.26,4.44,33.14,87.62,0.7341,XLV,0.57,0.58,clean,0.814,normal,none,82.46760500446828,95.24128686327077,91.3538873994638,89.7,2
RVMD,151.56,-1.41,4.05,12.7,46.17,114.89,291.22,-2.87,3.14,3.63,2.49,6.31,4,True,True,True,True,True,3.18,7.45,263.3,2.84,2.55,251.36,4.87,16.7,255.72,1.9691,,,0.04,clean,0.709,thin,buy_today,75.6367292225201,95.24128686327077,97.72117962466488,89.5,4
BAND,61.39,4.87,13.75,167.49,339.76,343.25,347.78,2.82,12.18,2.03,1.01,1.02,3,True,True,True,True,True,12.87,162.25,319.85,12.53,157.34,307.91,14.57,171.49,312.27,0.817,XLV,0.3,0.34,clean,1.31,normal,none,97.84405719392315,78.55227882037534,92.22520107238606,89.5,4
MXL,99.16,-0.51,7.39,189.52,452.73,639.45,757.04,-14.43,25.66,2.39,1.41,1.67,3,True,True,True,True,True,6.51,184.27,729.12,6.17,179.37,717.18,8.2,193.51,721.54,3.1579,XLK,0.39,-0.27,clean,1.117,normal,buy_today,85.63449508489724,78.55227882037534,99.32975871313673,87.8,6
MTSI,385.98,1.45,2.76,35.72,57.2,138.89,218.02,1.9,12.92,1.6,2.43,3.81,3,True,True,True,True,True,1.89,30.47,190.09,1.55,25.57,178.16,3.58,39.71,182.52,1.5165,XLK,0.58,0.79,clean,1.143,normal,none,87.01966041108132,78.55227882037534,96.58176943699732,87.4,7
KLIC,104.4,3.27,2.31,23.32,51.13,195.83,220.84,0.71,10.08,2.19,3.83,4.32,4,True,True,True,True,True,1.44,18.07,192.91,1.1,13.17,180.98,3.13,27.31,185.34,-0.265,QQQ,0.74,0.94,clean,1.198,normal,none,87.90773011617516,95.24128686327077,77.4798927613941,86.9,8
ACMR,73.35,2.46,15.2,35.86,12.64,132.86,218.5,6.18,2.36,0.35,10.51,17.29,3,True,True,True,True,True,14.33,30.61,190.57,13.99,25.71,178.64,16.02,39.85,183.0,0.8003,QQQ,0.65,1.11,clean,1.087,normal,none,89.4436997319035,78.55227882037534,92.02412868632707,86.7,9
SNDK,1478.69,-4.12,5.05,58.58,121.86,501.19,3730.8,-1.23,11.6,2.08,4.11,30.61,4,True,True,True,True,True,4.17,53.34,3702.88,3.84,48.43,3690.94,5.87,62.58,3695.3,0.0134,XLK,0.6,0.22,clean,0.698,thin,buy_today,80.28373547810546,95.24128686327077,83.24396782841823,86.3,10
