ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
TNGX,17.88,3.35,8.69,41.12,96.48,173.81,861.29,2.59,4.73,2.35,1.8,8.93,4,True,True,True,True,True,10.07,42.93,839.98,9.91,41.16,833.09,11.22,39.11,793.64,1.3227,,,0.15,clean,0.924,normal,none,97.18851132686085,97.97734627831716,97.49190938511327,97.6,1
TYRA,36.98,2.11,9.59,26.7,62.14,195.41,244.37,4.54,2.79,2.33,3.14,3.93,4,True,True,True,True,True,10.96,28.51,223.05,10.8,26.75,216.17,12.11,24.7,176.72,1.5068,,,-0.23,clean,1.12,normal,none,94.16127292340884,97.97734627831716,97.97734627831716,96.7,2
MAMA,16.8,5.2,1.39,11.41,25.47,78.53,163.74,0.27,8.22,2.23,3.08,6.43,4,True,True,True,True,True,2.76,13.21,142.42,2.6,11.45,135.54,3.91,9.4,96.09,0.5202,XLP,0.36,0.65,clean,0.749,thin,none,91.37001078748652,97.97734627831716,93.20388349514563,94.2,3
PRE,21.73,4.87,6.05,3.67,40.47,115.79,393.86,1.24,0.61,11.02,2.86,9.73,3,True,True,True,True,True,7.43,5.48,372.55,7.26,3.72,365.67,8.58,1.67,326.22,1.3958,,,0.31,clean,0.99,normal,none,93.66235167206041,83.37378640776699,97.81553398058253,91.6,4
GPRE,15.35,-2.91,2.74,10.27,57.27,59.4,202.17,-0.94,3.74,5.58,1.04,3.53,4,True,True,True,True,True,4.12,12.08,180.85,3.96,10.31,173.97,5.27,8.27,134.52,1.3317,XLE,0.42,-0.86,clean,0.788,normal,buy_today,77.44066882416398,97.97734627831716,97.57281553398059,91.0,5
MAZE,51.19,1.95,13.6,8.82,29.37,119.7,353.01,6.97,0.65,3.33,4.08,12.02,4,True,True,True,True,True,14.98,10.63,331.69,14.82,8.86,324.81,16.13,6.82,285.36,-0.3113,,,0.07,clean,1.815,confirmed,none,91.03964401294498,97.97734627831716,82.60517799352752,90.5,6
ANRO,24.27,9.03,10.37,47.63,65.33,523.91,668.04,1.15,4.59,1.37,8.02,10.23,3,True,True,True,True,True,11.74,49.44,646.72,11.58,47.67,639.84,12.89,45.62,600.39,-0.2418,,,0.3,clean,1.377,normal,none,99.01564185544767,83.37378640776699,83.33333333333334,88.6,7
NTR,77.79,-6.11,2.61,10.45,27.52,36.59,55.36,-0.43,4.0,2.63,1.33,2.01,4,True,True,True,True,True,3.99,12.26,34.05,3.82,10.49,27.17,5.14,8.44,-12.28,1.2425,XLE,0.5,-0.93,clean,1.877,confirmed,none,70.59061488673139,97.97734627831716,97.33009708737865,88.6,7
LINC,37.27,-0.9,2.9,36.52,68.26,89.57,158.1,-3.21,12.6,1.87,1.31,2.32,3,True,True,True,True,True,4.27,38.33,136.79,4.11,36.56,129.91,5.43,34.51,90.46,2.4865,,,-0.34,clean,0.88,normal,buy_today,80.38700107874865,83.37378640776699,99.19093851132686,87.7,9
RCAT,15.54,-2.02,10.21,38.13,76.79,41.4,215.85,-5.06,3.73,2.01,0.54,2.81,3,True,True,True,True,True,11.59,39.94,194.54,11.43,38.17,187.66,12.74,36.13,148.21,2.0202,IAU,0.35,-0.58,clean,1.343,normal,buy_today,79.87459546925567,83.37378640776699,98.7864077669903,87.3,10
CLMT,28.27,-1.12,-3.65,8.81,39.67,62.56,151.07,3.26,-2.42,4.5,1.58,3.81,4,True,True,True,True,True,-2.27,10.62,129.75,-2.43,8.86,122.87,-1.12,6.81,83.42,0.6959,,,-1.0,clean,0.807,normal,buy_today,65.85086299892124,97.97734627831716,94.57928802588997,86.1,11
AEP,134.18,0.42,1.76,6.13,17.43,22.58,28.72,4.15,3.49,2.85,1.3,1.65,4,True,True,True,True,True,3.13,7.93,7.4,2.97,6.17,0.52,4.28,4.12,-38.93,0.5364,XLU,0.81,0.88,clean,0.79,normal,none,66.81499460625675,97.97734627831716,93.28478964401295,86.0,12
CENX,55.61,1.61,2.13,11.89,72.06,113.15,186.65,1.32,5.58,6.06,1.57,2.59,4,True,True,True,True,True,3.5,13.7,165.34,3.34,11.93,158.45,4.66,9.89,119.0,-0.9311,XLK,0.48,-1.28,clean,1.024,normal,none,88.48435814455233,97.97734627831716,69.8220064724919,85.4,13
TIGO,72.9,0.98,3.89,10.91,42.33,53.38,147.03,3.96,2.8,3.88,1.26,3.47,4,True,True,True,True,True,5.26,12.72,125.72,5.1,10.95,118.84,6.42,8.9,79.39,-0.7299,XLRE,0.43,0.16,clean,1.003,normal,none,83.30636461704424,97.97734627831716,74.4336569579288,85.2,14
XOM,157.22,0.7,4.51,4.86,31.52,40.17,44.68,6.4,1.08,6.48,1.27,1.42,3,True,True,True,True,True,5.88,6.67,23.36,5.72,4.9,16.48,7.03,2.86,-22.97,0.817,XLE,0.91,1.0,clean,0.971,normal,none,75.18878101402373,83.37378640776699,95.63106796116504,84.7,15
