ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,slope_stage,slope_tq_score,health_score,health_verdict,spread_support,source_count,sources,sector
BG,XLB,15.0,88.3,73.0,81.6,,,,,,,6.0,,,82.2,HEALTHY,bearish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Consumer Defensive
XLE,XLE,19.0,86.2,79.0,81.0,,,,,,4.6,,,,85.5,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
VDE,XLE,20.0,86.0,83.0,80.5,,,,,,4.7,,,,87.7,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
RAAX,IAU,20.0,86.0,142.0,73.3,,,,,,4.5,,,,88.3,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
PHYS,IAU,29.0,83.2,10.0,90.3,,,,,,3.1,6.0,,,62.8,CAUTION,none,4,"['ranker', 'ranker_long', 'secrot', 'stock_secrot']",Financial Services
GUNR,IAU,33.0,82.4,53.0,83.7,,,,,,5.8,,,,83.8,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
AA,XLK,37.0,81.7,93.0,79.3,,,,,,,5.0,,,89.8,HEALTHY,bearish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Basic Materials
DBC,IAU,50.0,79.5,76.0,81.4,,,,,,3.7,,,,91.0,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
XOP,XLE,63.0,77.0,133.0,74.9,,,,,,5.4,,,,87.1,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
GSG,XLE,102.0,71.3,110.0,77.8,,,,,,3.7,,,,85.3,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
XLU,XLU,104.0,70.8,78.0,81.2,,,,,,3.6,,,,80.1,HEALTHY,bearish,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
PBR,XLE,106.0,70.7,12.0,89.6,,,,,,,7.0,,,80.5,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Energy
VPU,XLU,111.0,70.2,85.0,80.3,,,,,,3.7,,,,80.3,HEALTHY,bearish,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
HAL,XLE,142.0,64.6,119.0,76.7,,,,,,,6.0,,,82.4,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Energy
NORW,VXUS,147.0,63.9,76.0,81.4,,,,,,4.9,,,,83.4,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
TNGX,--,1.0,98.1,18.0,88.6,,,,,,,,,,82.4,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
PARXF,XLE,3.0,96.5,18.0,88.6,,,,,,,,,,85.9,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TYRA,--,4.0,95.0,136.0,74.5,,,,,,,,,,91.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
MAZE,--,5.0,93.2,105.0,78.4,,,,,,,,,,89.8,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
LINC,--,6.0,92.8,39.0,85.3,,,,,,,,,,83.9,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
GPRE,XLE,6.0,92.8,62.0,82.8,,,,,,,,,,83.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
CENX,XLK,10.0,90.3,23.0,87.3,,,,,,,,,,83.5,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",
FUWAY,IAU,11.0,89.5,1.0,93.1,,,,,,,,,,86.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
