target_date,window,similar_date,correlation
2026-04-02,25Y,2026-03-31,0.8874
2026-04-02,25Y,2026-04-01,0.8705
2026-04-02,25Y,2026-03-27,0.7793
2026-04-02,25Y,2026-03-25,0.7239
2026-04-02,25Y,2026-03-30,0.6967
2026-04-02,25Y,2022-05-16,0.6905
2026-04-02,25Y,2022-05-19,0.6654
2026-04-02,25Y,2022-05-17,0.654
2026-04-02,25Y,2026-03-26,0.631
2026-04-02,25Y,2023-10-10,0.6296
2026-04-02,25Y,2010-02-16,0.6268
2026-04-02,25Y,2020-03-27,0.6229
2026-04-02,25Y,2023-10-11,0.6185
2026-04-02,25Y,2010-02-18,0.6173
2026-04-02,25Y,2007-03-20,0.6147
2026-04-02,25Y,2026-03-19,0.6099
2026-04-02,25Y,2022-05-13,0.6068
2026-04-02,25Y,2007-03-22,0.6042
2026-04-02,25Y,2022-02-03,0.6034
2026-04-02,25Y,2026-03-23,0.5965
2026-04-02,25Y,2007-03-26,0.596
2026-04-02,25Y,2021-10-06,0.5954
2026-04-02,25Y,2021-10-05,0.5915
2026-04-02,25Y,2016-01-28,0.5902
2026-04-02,25Y,2008-10-30,0.5883
2026-04-02,25Y,2018-02-21,0.5882
2026-04-02,25Y,2004-05-21,0.5879
2026-04-02,25Y,2020-03-25,0.5872
2026-04-02,25Y,2020-03-26,0.5851
2026-04-02,25Y,2010-02-11,0.5844
2026-04-02,25Y,2023-10-12,0.5841
2026-04-02,25Y,2010-02-12,0.5839
2026-04-02,25Y,2010-06-02,0.5829
2026-04-02,25Y,2025-01-08,0.5826
2026-04-02,25Y,2005-04-05,0.5826
2026-04-02,25Y,2016-01-27,0.578
2026-04-02,25Y,2001-04-09,0.5773
2026-04-02,25Y,2007-03-23,0.5756
2026-04-02,25Y,2023-08-29,0.5742
2026-04-02,25Y,2022-05-18,0.5741
2026-04-02,25Y,2026-03-20,0.574
2026-04-02,25Y,2008-10-31,0.5721
2026-04-02,25Y,2016-01-26,0.5711
2026-04-02,25Y,2010-02-17,0.5663
2026-04-02,25Y,2002-06-28,0.565
2026-04-02,25Y,2021-10-07,0.5641
2026-04-02,25Y,2008-10-29,0.564
2026-04-02,25Y,2010-06-03,0.563
2026-04-02,25Y,2022-05-20,0.5622
2026-04-02,25Y,2023-08-28,0.5622
2026-04-02,25Y,2021-12-08,0.5606
2026-04-02,25Y,2001-10-01,0.5606
2026-04-02,25Y,2021-10-12,0.5604
2026-04-02,25Y,2025-01-07,0.5601
2026-04-02,25Y,2004-05-24,0.5593
2026-04-02,25Y,2021-12-09,0.5573
2026-04-02,25Y,2007-03-21,0.5546
2026-04-02,25Y,2018-02-20,0.5544
2026-04-02,25Y,2004-05-05,0.5543
2026-04-02,25Y,2023-10-13,0.5543
2026-04-02,25Y,2015-09-14,0.5535
2026-04-02,25Y,2002-07-30,0.5522
2026-04-02,25Y,2001-10-02,0.5492
2026-04-02,25Y,2002-06-27,0.5491
2026-04-02,25Y,2010-06-11,0.549
2026-04-02,25Y,2008-11-03,0.5477
2026-04-02,25Y,2021-12-07,0.5464
2026-04-02,25Y,2004-05-25,0.5449
2026-04-02,25Y,2018-02-16,0.5425
2026-04-02,25Y,2026-03-24,0.5419
2026-04-02,25Y,2022-05-03,0.5404
2026-04-02,25Y,2010-05-28,0.5404
2026-04-02,25Y,2021-10-08,0.5403
2026-04-02,25Y,2022-02-02,0.5393
2026-04-02,25Y,2022-05-04,0.5389
2026-04-02,25Y,2004-03-31,0.5388
2026-04-02,25Y,2023-08-23,0.5369
2026-04-02,25Y,2025-01-10,0.5324
2026-04-02,25Y,2016-01-29,0.5308
2026-04-02,25Y,2016-01-25,0.5307
2026-04-02,25Y,2022-02-04,0.5305
2026-04-02,25Y,2026-03-17,0.53
2026-04-02,25Y,2013-06-28,0.5297
2026-04-02,25Y,2023-08-24,0.5296
2026-04-02,25Y,2015-09-11,0.5287
2026-04-02,25Y,2001-04-06,0.528
2026-04-02,25Y,2010-06-14,0.5279
2026-04-02,25Y,2001-03-28,0.5276
2026-04-02,25Y,2007-08-23,0.5269
2026-04-02,25Y,2004-03-30,0.5261
2026-04-02,25Y,2022-10-07,0.5258
2026-04-02,25Y,2006-06-30,0.5253
2026-04-02,25Y,2004-05-26,0.5252
2026-04-02,25Y,2024-08-15,0.5249
2026-04-02,25Y,2002-10-01,0.5182
2026-04-02,25Y,2026-03-13,0.518
2026-04-02,25Y,2010-05-27,0.5177
2026-04-02,25Y,2021-10-11,0.5176
2026-04-02,25Y,2013-06-19,0.5163
2026-04-02,25Y,2002-07-29,0.5144
2026-04-02,5Y,2026-03-31,0.8874
2026-04-02,5Y,2026-04-01,0.8705
