ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,slope_stage,slope_tq_score,health_score,health_verdict,spread_support,source_count,sources,sector
LHX,XLI,17.0,85.1,29.0,85.4,,,,,,,8.0,,,86.8,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Industrials
VDE,XLE,22.0,83.7,73.0,81.3,,,,,,4.1,,,,85.7,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
XLE,XLE,23.0,83.6,66.0,81.6,,,,,,4.3,,,,85.9,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
IYZ,XLI,34.0,81.5,144.0,74.0,,,,,,4.1,,,,81.3,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
GSG,XLE,44.0,78.7,106.0,78.0,,,,,,3.7,,,,81.7,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
GUNR,IAU,55.0,77.4,54.0,82.6,,,,,,3.7,,,,81.9,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
RAAX,IAU,58.0,77.2,150.0,73.0,,,,,,3.7,,,,84.3,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
DBC,IAU,62.0,76.6,66.0,81.6,,,,,,3.5,,,,87.5,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
VPU,XLU,65.0,76.1,43.0,83.6,,,,,,3.5,,,,84.1,HEALTHY,bearish,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
BG,XLB,67.0,75.9,15.0,87.3,,,,,,,6.0,,,84.7,HEALTHY,bearish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Consumer Defensive
XOP,XLE,77.0,74.1,127.0,75.9,,,,,,4.4,,,,88.7,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
FAN,VGK,80.0,73.2,71.0,81.4,,,,,,2.0,,,,83.7,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
SNDK,XLK,83.0,72.5,150.0,73.0,,,,,,,6.0,,,85.6,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
NORW,VXUS,86.0,71.0,63.0,81.7,,,,,,3.3,,,,84.3,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
AA,XLK,91.0,70.5,104.0,78.3,,,,,,,5.0,,,88.2,HEALTHY,bearish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Basic Materials
MU,XLK,104.0,69.1,99.0,78.4,,,,,,,6.0,,,85.5,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
HAL,XLE,112.0,68.0,118.0,77.2,,,,,,,6.0,,,85.5,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Energy
WDC,XLK,134.0,65.5,63.0,81.7,,,,,,,5.0,,,86.1,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
TNGX,--,1.0,97.8,11.0,88.6,,,,,,,,,,82.9,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
LINC,--,1.0,97.8,1.0,95.2,,,,,,,,,,82.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TERN,--,4.0,92.3,121.0,77.0,,,,,,,,,,90.6,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
PBR,XLE,9.0,88.1,10.0,89.3,,,,,,,7.0,,,78.0,CAUTION,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Energy
CENX,XLK,10.0,87.6,26.0,86.0,,,,,,,,,,86.5,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",
XOM,XLE,11.0,86.6,48.0,83.1,,,,,,,3.0,,,86.3,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
TIGO,XLRE,11.0,86.6,37.0,84.6,,,,,,,,,,88.3,HEALTHY,bearish,3,"['ranker', 'ranker_long', 'pullback_health']",
CIEN,XLK,13.0,86.2,96.0,78.6,,,,,,,2.0,,,82.3,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",Technology
